ALCOHOL,TEMP_AMB,TEMP_FAC_MAX,TEMP_FAC_MIN,EYES,LABEL
0.2,27.94,27.23,11.75,3.53553,0
0.2,27.83,27.26,12.62,3.53553,0
0.2,27.94,27.49,12.09,3.53553,0
0.2,28.17,26.7,13.01,3.53553,0
0.2,28.11,27.15,13.26,3.53553,0
0.03,27.42,27.34,11.54,4.30116,0
0,28.16,26.81,14.56,4.30116,0
0.42,27.68,28.1,11.49,4.301196,0
0.88,27.69,27.34,12.19,4.301116,0
0,28.42,27.1,16.27,3.80789,0
1.1,27.89,27.26,16.2,3.80789,0
0.04,27.99,27.74,16.1,3.80789,0
0.06,28.27,27.1,16.25,3.53553,0
0,28.74,27.8,13.26,2.91548,0
0,28.3,27.17,12.66,3.80789,0
0.19,28.69,27.43,15.69,2.91548,0
0,28.27,27.8,13.48,4.30116,0
0.12,28.21,27.28,12.99,2.91548,0
0,28.42,27.32,16.24,3.80789,0
0.18,28.39,28.16,13.83,8.63134,0
0.18,27.96,30.82,12.25,5.80789,0
0,27.11,25.8,12.36,5.80789,0
0.85,27.18,26.93,12.25,5.9045,0
0.03,27.32,27.82,12.9,5.2444,0
0,27.39,26.36,17.25,6.3656,0
0.4,27.78,27.69,14.27,7.64853,0
0,27.51,27.07,14.25,7.63134,0
0.03,27.67,27.12,11.23,5.5192,0
0,27.79,26.69,15.24,5.70088,0
0.14,27.74,26.6,15.04,6.14782,0
0,27.8,26.98,17.01,6.14782,0
0,27.97,26.26,16.25,5.52278,0
0.91,28.12,26.79,12.36,6.5192,0
0.4,27.96,26.49,17.28,5.70088,0
0,27.96,26.98,12.37,6.04152,0
0,27.59,26.27,16.25,6.04152,0
0.6,27.69,26.6,18.14,5.52268,0
0,27.87,26.29,16.26,5.52268,0
0.81,26.81,26.4,14.26,5.14782,0
0.07,26.78,26.75,14.25,6.67083,0
0,26.96,26.94,15.36,5.5192,0
0.15,27.75,27.39,17.82,5.5192,0
0,27.61,26.14,16.99,5.7008,0
0,27.12,26.77,17.85,5.7008,0
0.03,27.89,27.25,16.24,5.52268,0
0.82,27.93,27.39,16.46,6.5192,0
0,27.96,26.31,15.75,6.5192,0
0,28.16,26.48,19.29,5.7008,0
0,28.17,26.94,17.28,5.5192,0
0.12,28.12,26.38,16.98,5.5192,0
0,28.19,25.35,16.26,5.5192,0
0.17,27.73,28.11,17.84,7.64853,0
0,28.73,28.57,16.55,5.70088,0
0.13,28.94,20.34,17.88,5.70088,0
0,28.97,28.98,17.96,5.14782,0
0,29.41,27.78,17.82,7.77817,0
0.03,29.42,28.23,18.09,5.70088,0
0.03,29.16,28.77,18.51,7.51665,0
0,28.58,29.01,19,6.67083,0
0.4,28.65,27.63,17.58,7.10634,0
0,28.8,28.1,17.63,6.67083,0
0.75,28.89,27.77,17.57,7.10634,0
0.03,28.85,28.26,17.8,7.64853,0
0.03,28.46,28.17,14.73,5.52268,0
0,28.55,26.72,17.5,6.5192,0
0.28,28,26.81,13.41,5.70088,0
0,28.49,24.23,15.91,6.36396,0
0.24,29.43,28.51,8.51,7.64853,0
0,29.51,24.17,8.42,7.61769,0
0,28.07,26.55,15.17,5.70088,0
0.26,28.64,28.35,16.14,7.51665,0
0,28.8,24.06,12.97,6.5192,0
0.4,28.6,22.88,12.62,3.53553,0
0,28.27,23.24,11.61,6.04152,0
0,28.21,26.76,16.67,8.63134,0
0.4,28.32,27.33,16.53,6.04152,0
0,28.38,27.29,16,9.82344,0
0,28.39,27.87,16.43,9.82344,0
0.03,28.44,27.41,16.97,7.5192,0
