track_id,track_name,artist,album,release_date,duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
TRK1000,Song 0,Artist 7,Album 3,2010-01-01,240151,70,0.037,0.349,-2.87,0.522,0.616,0.931,0.947,0.353,110.14
TRK1001,Song 1,Artist 4,Album 5,2010-01-02,253767,58,0.61,0.726,-22.87,0.77,0.635,0.858,0.986,0.584,75.9
TRK1002,Song 2,Artist 13,Album 19,2010-01-03,244375,85,0.503,0.897,-1.33,0.216,0.045,0.429,0.753,0.078,154.02
TRK1003,Song 3,Artist 11,Album 7,2010-01-04,299262,27,0.051,0.887,-1.46,0.623,0.375,0.751,0.376,0.974,132.84
TRK1004,Song 4,Artist 8,Album 9,2010-01-05,256330,65,0.279,0.78,-5.88,0.085,0.626,0.755,0.084,0.986,168.12
TRK1005,Song 5,Artist 13,Album 7,2010-01-06,159504,41,0.908,0.642,-28.22,0.052,0.503,0.103,0.777,0.698,132.82
TRK1006,Song 6,Artist 5,Album 18,2010-01-07,284231,44,0.24,0.084,-24.6,0.531,0.856,0.903,0.558,0.536,179.31
TRK1007,Song 7,Artist 7,Album 4,2010-01-08,133986,61,0.145,0.162,-5.95,0.541,0.659,0.505,0.424,0.31,137.27
TRK1008,Song 8,Artist 10,Album 14,2010-01-09,181858,56,0.489,0.899,-27.32,0.637,0.163,0.826,0.906,0.814,138.53
TRK1009,Song 9,Artist 3,Album 18,2010-01-10,249312,5,0.986,0.606,-33.22,0.726,0.071,0.32,0.111,0.685,182.73
TRK1010,Song 10,Artist 7,Album 9,2010-01-11,132666,27,0.242,0.009,-17.73,0.976,0.642,0.896,0.493,0.163,116.49
TRK1011,Song 11,Artist 11,Album 2,2010-01-12,158660,27,0.672,0.101,-2.55,0.516,0.027,0.389,0.011,0.911,78.76
TRK1012,Song 12,Artist 11,Album 15,2010-01-13,254633,43,0.762,0.664,-12.16,0.323,0.586,0.011,0.469,0.823,64.03
TRK1013,Song 13,Artist 8,Album 7,2010-01-14,146854,83,0.238,0.005,-17.2,0.795,0.94,0.905,0.056,0.95,165.72
TRK1014,Song 14,Artist 5,Album 12,2010-01-15,184505,29,0.728,0.161,-36.11,0.271,0.575,0.091,0.119,0.726,146.84
TRK1015,Song 15,Artist 4,Album 8,2010-01-16,224488,61,0.368,0.549,-15.4,0.439,0.388,0.319,0.118,0.613,158.57
TRK1016,Song 16,Artist 8,Album 15,2010-01-17,142662,74,0.632,0.692,-0.4,0.078,0.643,0.95,0.649,0.418,89.81
TRK1017,Song 17,Artist 8,Album 3,2010-01-18,128392,91,0.634,0.652,-34.4,0.025,0.458,0.951,0.746,0.933,79.09
TRK1018,Song 18,Artist 3,Album 14,2010-01-19,150535,88,0.536,0.224,-19.27,0.963,0.546,0.573,0.583,0.866,62.04
TRK1019,Song 19,Artist 6,Album 17,2010-01-20,233569,61,0.09,0.712,-4.91,0.836,0.941,0.632,0.962,0.045,109.08
TRK1020,Song 20,Artist 5,Album 4,2010-01-21,172256,96,0.835,0.237,-10.37,0.696,0.386,0.448,0.375,0.026,142.59
TRK1021,Song 21,Artist 2,Album 18,2010-01-22,209135,0,0.321,0.325,-12.12,0.409,0.961,0.293,0.286,0.376,114.91
TRK1022,Song 22,Artist 8,Album 8,2010-01-23,247478,26,0.187,0.746,-11.9,0.173,0.905,0.329,0.869,0.811,121.25
TRK1023,Song 23,Artist 12,Album 4,2010-01-24,155222,61,0.041,0.65,-25.62,0.156,0.196,0.673,0.224,0.987,186.58
